Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Price to Earning,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,YOY Quarterly sales growth,Debt to equity,Profit after tax,Profit after tax latest quarter,Change in promoter holding,Promoter holding,EVEBITDA,PEG Ratio,Return on equity,Return on equity preceding year,OPM last year
3B Blackbio,532067,,Healthcare Services,Healthcare Service Provider,1259.45,22.02,0.32,15.04,0.41,16.30,0.00,49.10,14.71,0.00,41.28,14.99,1.58,19.40,15.42,51.94
Abbott India,500488,ABBOTINDIA,Pharmaceuticals & Biotechnology,Pharmaceuticals,28945.00,40.79,1.64,415.27,15.80,7.62,0.05,1508.95,415.27,0.00,74.99,28.75,1.94,35.68,34.88,26.45
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1707.60,62.35,0.09,71.86,93.52,24.10,0.01,223.96,72.24,0.00,32.66,41.23,2.07,16.00,9.37,23.05
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1509.40,27.18,0.46,3120.20,25.07,29.72,0.85,12001.54,3109.05,0.00,65.89,16.48,0.99,18.76,18.08,59.53
Aegis Logistics,500003,AEGISLOG,Gas,Trading - Gas,740.95,36.28,0.98,244.02,42.61,31.05,0.41,716.87,179.63,0.00,58.10,17.89,1.59,15.53,15.13,16.23
AGI Greenpac,500187,AGI,Industrial Products,Packaging,746.60,13.75,0.94,76.12,5.60,0.40,0.21,352.10,76.12,0.00,60.24,7.49,0.75,16.24,14.51,24.28
Amrutanjan Healt,590006,AMRUTANJAN,Pharmaceuticals & Biotechnology,Pharmaceuticals,656.95,33.54,0.70,13.96,18.31,7.08,0.01,56.70,13.96,0.00,46.52,21.94,-3.78,16.53,15.49,12.91
Aprameya Enginee,,APRAMEYA,Healthcare Equipment & Supplies,Medical Equipment & Supplies,331.00,25.62,0.00,6.76,490.75,354.58,0.53,24.60,6.76,0.00,73.53,17.82,0.88,36.78,16.11,17.98
Asarfi Hospital,543943,,Healthcare Services,Hospital,199.50,27.94,0.00,4.30,48.28,45.33,0.54,14.05,4.30,0.00,61.17,11.89,1.21,14.06,7.50,20.47
Ashapura Minech.,527001,ASHAPURMIN,Minerals & Mining,Industrial Minerals,679.55,16.32,0.15,105.98,117.93,57.67,0.86,398.38,96.61,0.04,47.79,11.84,0.27,27.14,24.98,13.78
ASK Automotive,544022,ASKAUTOLTD,Auto Components,Auto Components & Equipments,479.15,35.06,0.31,79.80,18.61,8.20,0.53,269.37,79.80,0.00,78.95,20.36,0.79,26.63,23.81,12.00
Assoc.Alcohols,507526,ASALCBR,Beverages,Breweries & Distilleries,970.50,21.42,0.21,14.01,-8.55,-0.31,0.13,86.09,14.01,1.93,61.22,13.50,2.02,17.27,12.88,11.91
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals & Biotechnology,Pharmaceuticals,9226.50,99.94,0.35,54.22,51.26,37.03,0.04,231.16,58.13,0.00,75.00,62.95,2.31,23.63,22.92,14.80
Avanti Feeds,512573,AVANTIFEED,Food Products,Animal Feed,819.60,18.06,1.10,168.80,34.88,18.79,0.00,618.56,153.29,0.00,43.23,11.23,0.55,19.53,15.09,11.30
Banco Products,500039,BANCOINDIA,Auto Components,Auto Components & Equipments,747.75,24.75,1.47,138.90,0.14,16.01,0.45,432.85,138.90,0.00,67.88,16.18,0.70,32.18,26.86,19.02
Bharat Electron,500049,BEL,Aerospace & Defense,Aerospace & Defense,406.90,52.25,0.59,1287.16,17.88,25.78,0.00,5695.67,1287.77,0.00,51.14,35.64,1.72,29.22,26.27,28.76
